Name,Size,Type,Alignment,AC,HP,Speed,Challenge_Rating,XP,STR,STR_Mod,DEX,DEX_Mod,CON,CON_Mod,INT,INT_Mod,WIS,WIS_Mod,CHA,CHA_Mod,Saving_Throws,Skills,Passive_Perception,Senses,Languages,Vulnerabilities,Damage_Vulnerabilities,Resistances,Immunities,Condition_Immunities,Habitat,Treasure,Gear,Traits,Actions,Reactions,Bonus_Actions,Legendary_Actions,Legendary_Actions_Num,Legendary_Actions_Desc,Source_Name,Image_URL
Cloaker,Large,aberration,Chaotic Neutral,14 (Natural Armor),78 (12d10+12),"10 ft., fly 40 ft.",8,"3,900",17,+3,15,+2,12,+1,13,+1,12,+1,14,+2,,Stealth +5,11,Darkvision 60 Ft.,"Deep Speech, Undercommon",,,,,,,,,"Damage Transfer: While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down). and that creature takes the other half. | False Appearance: While the cloaker remains motionless without its underside exposed, it is indistinguishable from a dark leather cloak. | Light Sensitivity: While in bright light, the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.","Multiattack: The cloaker makes two attacks: one with its bite and one with its tail. | Bite: If the target is large or smaller, the cloaker attaches to it. If the cloaker has advantage against the target, the cloaker attaches to the target's head, and the target is blinded and unable to breathe while the cloaker is attached. While attached, the cloaker can make this attack only against the target and has advantage on the attack roll. The cloaker can detach itself by spending 5 feet of its movement. A creature, including the target, can take its action to detach the cloaker by succeeding on a DC 16 Strength check. | Tail:  | Moan: Each creature within 60 feet of the cloaker that can hear its moan and that isn't an aberration must succeed on a DC 13 Wisdom saving throw or become frightened until the end of the cloaker's next turn. If a creature's saving throw is successful, the creature is immune to the cloaker's moan for the next 24 hours. | Phantasms (Recharges after a Short or Long Rest): The cloaker magically creates three illusory duplicates of itself if it isn't in bright light. The duplicates move with it and mimic its actions, shifting position so as to make it impossible to track which cloaker is the real one. If the cloaker is ever in an area of bright light, the duplicates disappear. Whenever any creature targets the cloaker with an attack or a harmful spell while a duplicate remains, that creature rolls randomly to determine whether it targets the cloaker or one of the duplicates. A creature is unaffected by this magical effect if it can't see or if it relies on senses other than sight. A duplicate has the cloaker's AC and uses its saving throws. If an attack hits a duplicate, or if a duplicate fails a saving throw against an effect that deals damage, the duplicate disappears.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390059283/QZB1vBI_ZBKb9ZcaLPjR4Q/original.png
Cloud Giant,Huge,giant,Neutral Good (50%) Or Neutral Evil (50%),14 (Natural Armor),200 (16d12+96),40 ft.,9,"5,000",27,+8,10,+0,22,+6,12,+1,16,+3,16,+3,"Con +10, Wis +7, Cha +7","Insight +7, Perception +7",17,,"Common, Giant",,,,,,,,,"Keen Smell: The giant has advantage on Wisdom (Perception) checks that rely on smell. | Innate Spellcasting: The giant's innate spellcasting ability is Charisma. It can innately cast the following spells, requiring no material components:   At will: detect magic, fog cloud, light 3/day each: feather fall, fly, misty step, telekinesis 1/day each: control weather, gaseous form",Multiattack: The giant makes two morningstar attacks. | Morningstar:  | Rock: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390059423/WMZptF8NY06A4UqSghCeDA/original.png
Cockatrice,Small,monstrosity,Unaligned,11,27 (6d6+6),"20 ft., fly 40 ft.",1/2,100,6,-2,12,+1,12,+1,2,-4,13,+1,5,-3,,,11,Darkvision 60 Ft.,,,,,,,,,,,"Bite: The target must succeed on a dc 11 constitution saving throw against being magically petrified On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390059435/XhsO-O-E1L4G5tuT1fqxgA/original.png
Commoner,Medium,humanoid (any race),Any Alignment,10,4 (1d8),30 ft.,0,10,10,+0,10,+0,10,+0,10,+0,10,+0,10,+0,,,10,,Any One Language (Usually Common),,,,,,,,,,Club: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390059481/q0FaAkQEx6OD17fJZYGtYA/original.png
Constrictor Snake,Large,beast,Unaligned,12,13 (2d10+2),"30 ft., swim 30 ft.",1/4,50,15,+2,14,+2,12,+1,1,-5,10,+0,3,-4,,,10,Blindsight 10 Ft.,,,,,,,,,,,"Bite:  | Constrict: The target is grappled (escape dc 14) Until this grapple ends, the creature is restrained, and the snake can't constrict another target",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061566/C2m1SR7XbdqWZ6ePhnY-MA/original.png
Copper Dragon Wyrmling,Medium,dragon,Chaotic Good,16 (Natural Armor),22 (4d8+4),"30 ft., climb 30 ft., fly 60 ft.",1,200,15,+2,12,+1,13,+1,14,+2,11,+0,13,+1,"Dex +3, Con +3, Wis +2, Cha +3","Perception +4, Stealth +3",14,"Blindsight 10 Ft., Darkvision 60 Ft.",Draconic,,,,Acid,,,,,,"Bite:  | Breath Weapons (Recharge 5-6): The dragon uses one of the following breath weapons. Acid Breath. The dragon exhales acid in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 18 (4d8) acid damage on a failed save, or half as much damage on a successful one. Slowing Breath. The dragon exhales gas in a 15-foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061625/W66-bmN19ppebmfFR29jCw/original.png
Couatl,Medium,celestial,Lawful Good,19 (Natural Armor),97 (13d8+39),"30 ft., fly 90 ft.",4,"1,100",16,+3,20,+5,17,+3,18,+4,20,+5,18,+4,"Con +5, Wis +7, Cha +6",,15,Truesight 120 Ft.,"All, Telepathy 120 Ft.",,,Radiant,"Psychic; Bludgeoning, Piercing, and Slashing From Nonmagical Attacks",,,,,"Innate Spellcasting: The couatl's spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components:   At will: detect evil and good, detect magic, detect thoughts 3/day each: bless, create food and water, cure wounds, lesser restoration, protection from poison, sanctuary, shield 1/day each: dream, greater restoration, scrying | Magic Weapons: The couatl's weapon attacks are magical. | Shielded Mind: The couatl is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location.","Bite: The target must succeed on a dc 13 constitution saving throw or be poisoned for 24 hours Until this poison ends, the target is unconscious. Another creature can use an action to shake the target awake | Constrict: The target is grappled (escape dc 15) Until this grapple ends, the target is restrained, and the couatl can't constrict another target | Change Shape: The couatl magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the couatl's choice). In a new form, the couatl retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and other actions are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks. If the new form has a bite attack, the couatl can use its bite in that form.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061637/x27q0-uMIc3Y3svOIMHDpQ/original.png
Crab,Tiny,beast,Unaligned,11 (Natural Armor),2 (1d4),"20 ft., swim 20 ft.",0,10,2,-4,11,+0,10,+0,1,-5,8,-1,2,-4,,Stealth +2,9,Blindsight 30 Ft.,,,,,,,,,,Amphibious: The crab can breathe air and water.,Claw: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061643/M2u4Y3JQqCrnOYxgjNwfww/original.png
Crocodile,Large,beast,Unaligned,12 (Natural Armor),19 (3d10+3),"20 ft., swim 30 ft.",1/2,100,15,+2,10,+0,13,+1,2,-4,10,+0,5,-3,,Stealth +2,10,,,,,,,,,,,Hold Breath: The crocodile can hold its breath for 15 minutes.,"Bite: The target is grappled (escape dc 12) Until this grapple ends, the target is restrained, and the crocodile can't bite another target",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061684/TdnGQnrEsahAbmUFzv7uYA/original.png
Cult Fanatic,Medium,humanoid (any race),Any Non-good Alignment,13 (Leather Armor),33 (6d8+6),30 ft.,2,450,11,+0,14,+2,12,+1,10,+0,13,+1,14,+2,,"Deception +4, Persuasion +4, Religion +2",11,,Any One Language (Usually Common),,,,,,,,,"Dark Devotion: The fanatic has advantage on saving throws against being charmed or frightened. | Spellcasting: The fanatic is a 4th-level spellcaster. Its spell casting ability is Wisdom (spell save DC 11, +3 to hit with spell attacks). The fanatic has the following cleric spells prepared:   

• Cantrips (at will): light, sacred flame, thaumaturgy 
• 1st level (4 slots): command, inflict wounds, shield of faith 
• 2nd level (3 slots): hold person, spiritual weapon",Multiattack: The fanatic makes two melee attacks. | Dagger (Melee):  | Dagger (Ranged): ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061765/2sBYaEBg-CsIzJDYxFV2bQ/original.png
Cultist,Medium,humanoid (any race),Any Non-good Alignment,12 (Leather Armor),9 (2d8),30 ft.,1/8,25,11,+0,12,+1,10,+0,10,+0,11,+0,10,+0,,"Deception +2, Religion +2",10,,Any One Language (Usually Common),,,,,,,,,Dark Devotion: The cultist has advantage on saving throws against being charmed or frightened.,Scimitar: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061779/U2LJYVxLQ-nMrI1Eidbh-Q/original.png
Darkmantle,Small,monstrosity,Unaligned,11,22 (5d6+5),"10 ft., fly 30 ft.",1/2,100,16,+3,12,+1,13,+1,2,-4,10,+0,5,-3,,Stealth +3,10,Blindsight 60 Ft.,,,,,,,,,,"Echolocation: The darkmantle can't use its blindsight while deafened. | False Appearance: While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.","Crush: The darkmantle attaches to the target If the target is Medium or smaller and the darkmantle has advantage on the attack roll, it attaches by engulfing the target's head, and the target is also blinded and unable to breathe while the darkmantle is attached in this way. While attached to the target, the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle's speed also becomes 0, it can't benefit from any bonus to its speed, and it moves with the target. A creature can detach the darkmantle by making a successful DC 13 Strength check as an action. On its turn, the darkmantle can detach itself from the target by using 5 feet of movement | Darkness Aura (1/day): A 15-foot radius of magical darkness extends out from the darkmantle, moves with it, and spreads around corners. The darkness lasts as long as the darkmantle maintains concentration, up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this darkness, and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower, the spell creating the light is dispelled.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061947/4T9CTp07NEDbfWPdU66m0g/original.png
Death Dog,Medium,monstrosity,Neutral Evil,12,39 (6d8+12),40 ft.,1,200,15,+2,14,+2,14,+2,3,-4,13,+1,6,-2,,"Perception +5, Stealth +4",15,Darkvision 120 Ft.,,,,,,,,,,"Two-Headed: The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious.","Multiattack: The dog makes two bite attacks. | Bite: If the target is a creature, it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the creature must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0",,,,,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png
Deep Gnome (Svirfneblin),Small,humanoid (gnome),Neutral Good,15 (chain shirt),16 (3d6 + 6),20 ft.,1/2,100,15,+2,14,+2,14,+2,12,+1,10,+0,9,-1,,"Investigation +3, Perception +2, Stealth +4",12,darkvision 120 ft.,"Gnomish, Terran, Undercommon",,,,,,,,,"Stone Camouflage: The gnome has advantage on Dexterity (Stealth) checks made to hide in rocky terrain. | Gnome Cunning: The gnome has advantage on Intelligence, Wisdom, and Charisma saving throws against magic. | Innate Spellcasting: The gnome's innate spellcasting ability is Intelligence (spell save DC 11). It can innately cast the following spells, requiring no material components:  At will: nondetection (self only) 1/day each: blindness deafness, blur, disguise self","War Pick:  | Poisoned Dart: The target must succeed on a dc 12 constitution saving throw or be poisoned for 1 minute The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390116042/nfplC_7MvSXpmXUz_hct1Q/original.png
Deer,Medium,beast,Unaligned,13,4 (1d8),50 ft.,0,10,11,+0,16,+3,11,+0,2,-4,14,+2,5,-3,,,12,,,,,,,,,,,,Bite: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png
Deva,Medium,celestial,Lawful Good,17 (Natural Armor),136 (16d8+64),"30 ft., fly 90 ft.",10,"5,900",18,+4,18,+4,18,+4,17,+3,20,+5,20,+5,"Wis +9, Cha +9","Insight +9, Perception +9",19,Darkvision 120 Ft.,"All, Telepathy 120 Ft.",,,"Radiant; Bludgeoning, Piercing, And Slashing From Nonmagical Attacks",,"Charmed, Exhaustion, Frightened",,,,"Angelic Weapons: The deva's weapon attacks are magical. When the deva hits with any weapon, the weapon deals an extra 4d8 radiant damage (included in the attack). | Innate Spellcasting: The deva's spellcasting ability is Charisma (spell save DC 17). The deva can innately cast the following spells, requiring only verbal components:  At will: detect evil and good 1/day each: commune, raise dead | Magic Resistance: The deva has advantage on saving throws against spells and other magical effects.","Multiattack: The deva makes two melee attacks. | Mace:  | Healing Touch (3/Day): The deva touches another creature. The target magically regains 20 (4d8 + 2) hit points and is freed from any curse, disease, poison, blindness, or deafness. | Change Shape: The deva magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the deva's choice). In a new form, the deva retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and special senses are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061952/e52_IUeRKXlK9rB_CB24Og/original.png
Dire Wolf,Large,beast,Unaligned,14 (Natural Armor),37 (5d10+10),50 ft.,1,200,17,+3,15,+2,15,+2,3,-4,12,+1,7,-2,,"Perception +3, Stealth +4",13,,,,,,,,,,,Keen Hearing and Smell: The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. | Pack Tactics: The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 ft. of the creature and the ally isn't incapacitated.,"Bite: If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061969/tAnX706DDeqCqrlFAtxE0w/original.png
Diseased Giant Rat,Small,beast,Unaligned,12,7,30 ft.,1/8,25,7,-2,15,+2,11,+0,2,-4,10,+0,4,-3,,,10,Darkvision 60 ft.,,,,,,,,,,Keen Smell: The rat has advantage on Wisdom (Perception) checks that rely on smell. | Pack Tactics: The rat has advantage on an attack roll against a creature if at least one of the rat’s allies is within 5 feet of the creature and the ally isn’t incapacitated.,"Bite: If the target is a creature, it must succeed on a DC 10 Constitution saving throw or contract a disease. Until the disease is cured, the target can’t regain hit points except by magical means, and the target’s hit point maximum decreases by 3 (1d6) every 24 
hours. If the target’s hit point maximum drops to 0 as a result of this disease, the target dies",,,,,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png
Djinni,Large,elemental,Chaotic Good,17 (Natural Armor),161 (14d10+84),"30 ft., fly 90 ft.",11,"7,200",21,+5,15,+2,22,+6,15,+2,16,+3,20,+5,"Dex +6, Wis +7, Cha +9",,13,Darkvision 120 Ft.,Auran,,,,"Lightning, Thunder",,,,,"Elemental Demise: If the djinni dies, its body disintegrates into a warm breeze, leaving behind only equipment the djinni was wearing or carrying. | Innate Spellcasting: The djinni's innate spellcasting ability is Charisma (spell save DC 17, +9 to hit with spell attacks). It can innately cast the following spells, requiring no material components:   • At will: detect evil and good, detect magic, thunderwave • 3/day each: create food and water (can create wine instead of water), tongues, wind walk • 1/day each: conjure elemental (air elemental only), creation, gaseous form, invisibility, major image, plane shift","Multiattack: The djinni makes three scimitar attacks. | Scimitar: (djinni's choice) | Create Whirlwind: A 5-foot-radius, 30-foot-tall cylinder of swirling air magically forms on a point the djinni can see within 120 feet of it. The whirlwind lasts as long as the djinni maintains concentration (as if concentrating on a spell). Any creature but the djinni that enters the whirlwind must succeed on a DC 18 Strength saving throw or be restrained by it. The djinni can move the whirlwind up to 60 feet as an action, and creatures restrained by the whirlwind move with it. The whirlwind ends if the djinni loses sight of it. A creature can use its action to free a creature restrained by the whirlwind, including itself, by succeeding on a DC 18 Strength check. If the check succeeds, the creature is no longer restrained and moves to the nearest space outside the whirlwind.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061979/fRKcn6uSL-WfVJhPNEJwlg/original.png
Doppelganger,Medium,monstrosity (shapechanger),Unaligned,14,52 (8d8+16),30 ft.,3,700,11,+0,18,+4,14,+2,11,+0,12,+1,14,+2,,"Deception +6, Insight +3",11,Darkvision 60 Ft.,Common,,,,,Charmed,,,,"Shapechanger: The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies. | Ambusher: In the first round of a combat, the doppelganger has advantage on attack rolls against any creature it has surprised. | Surprise Attack: If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.","Multiattack: The doppelganger makes two melee attacks. | Slam:  | Read Thoughts: The doppelganger magically reads the surface thoughts of one creature within 60 ft. of it. The effect can penetrate barriers, but 3 ft. of wood or dirt, 2 ft. of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is in range, the doppelganger can continue reading its thoughts, as long as the doppelganger's concentration isn't broken (as if concentrating on a spell). While reading the target's mind, the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390061987/IP7YJV9DZTpZgqfyCVkPpw/original.png
Draft Horse,Large,beast,Unaligned,10,19 (3d10+3),40 ft.,1/4,50,18,+4,10,+0,12,+1,2,-4,11,+0,7,-2,,,10,,,,,,,,,,,,Hooves: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062148/1-jIo5vXiHU5B2hEXFIAhg/original.png
Dragon Turtle,Gargantuan,dragon,Neutral,20 (Natural Armor),341 (22d20+10),"20 ft., swim 40 ft.",17,"18,000",25,+7,10,+0,20,+5,10,+0,12,+1,12,+1,"Dex +6, Con +11, Wis +7",,11,Darkvision 120 Ft.,"Aquan, Draconic",,,Fire,,,,,,Amphibious: The dragon turtle can breathe air and water.,"Multiattack: The dragon turtle makes three attacks: one with its bite and two with its claws. It can make one tail attack in place of its two claw attacks. | Bite:  | Claw:  | Tail: If the target is a creature, it must succeed on a DC 20 Strength saving throw or be pushed up to 10 feet away from the dragon turtle and knocked prone | Steam Breath (Recharge 5-6): The dragon turtle exhales scalding steam in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 52 (15d6) fire damage on a failed save, or half as much damage on a successful one. Being underwater doesn't grant resistance against this damage.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062158/6rdr8Jj4FZpwol7n0yfGuw/original.png
Dretch,Small,fiend (demon),Chaotic Evil,11 (Natural Armor),18 (4d6+4),20 ft.,1/4,50,11,+0,11,+0,12,+1,5,-3,8,-1,3,-4,,,9,Darkvision 60 Ft.,"Abyssal, Telepathy 60 Ft. (Works Only With Creatures That Understand Abyssal)",,,"Cold, Fire, Lightning",Poison,Poisoned,,,,,"Multiattack: The dretch makes two attacks: one with its bite and one with its claws. | Bite:  | Claws:  | Fetid Cloud (1/Day): A 10-foot radius of disgusting green gas extends out from the dretch. The gas spreads around corners, and its area is lightly obscured. It lasts for 1 minute or until a strong wind disperses it. Any creature that starts its turn in that area must succeed on a DC 11 Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way, the target can take either an action or a bonus action on its turn, not both, and can't take reactions.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062168/vRuKaaM1aoGMdc-WbzZ9nQ/original.png
Drider,Large,monstrosity,Chaotic Evil,19 (Natural Armor),123 (13d10+52),"30 ft., climb 30 ft.",6,"2,300",16,+3,16,+3,18,+4,13,+1,14,+2,12,+1,,"Perception +5, Stealth +9",15,Darkvision 120 Ft.,"Elvish, Undercommon",,,,,,,,,"Fey Ancestry: The drider has advantage on saving throws against being charmed, and magic can't put the drider to sleep. | Innate Spellcasting: The drider's innate spellcasting ability is Wisdom (spell save DC 13). The drider can innately cast the following spells, requiring no material components:  At will: dancing lights 1/day each: darkness, faerie fire | Spider Climb: The drider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. | Sunlight Sensitivity: While in sunlight, the drider has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight. | Web Walker: The drider ignores movement restrictions caused by webbing.","Multiattack: The drider makes three attacks, either with its longsword or its longbow. It can replace one of those attacks with a bite attack. | Bite:  | Longsword: two handed | Longsword: one handed | Longbow: ",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062180/SWEU8gtJI4y5i9HFw9cjuA/original.png
Drow,Medium,humanoid (elf),Neutral Evil,15 (Chain Shirt),13 (3d8),30 ft.,1/4,50,10,+0,14,+2,10,+0,11,+0,11,+0,12,+1,,"Perception +2, Stealth +4",12,Darkvision 120 Ft.,"Elvish, Undercommon",,,,,,,,,"Fey Ancestry: The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep. | Innate Spellcasting: The drow's spellcasting ability is Charisma (spell save DC 11). It can innately cast the following spells, requiring no material components:  At will: dancing lights 1/day each: darkness, faerie fire | Sunlight Sensitivity: While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Shortsword:  | Hand Crossbow: The target must succeed on a dc 13 constitution saving throw or be poisoned for 1 hour If the saving throw fails by 5 or more, the target is also unconscious while poisoned in this way. The target wakes up if it takes damage or if another creature takes an action to shake it awake",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062195/IFOhGaY86rxIidGYZqLKdA/original.png
Druid,Medium,humanoid (any race),Any Alignment,11 (16 With Barkskin),27 (5d8+5),30 ft.,2,450,10,+0,12,+1,13,+1,12,+1,15,+2,11,+0,,"Medicine +4, Nature +3, Perception +4",14,,Druidic Plus Any Two Languages,,,,,,,,,"Spellcasting: The druid is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). It has the following druid spells prepared:  

• Cantrips (at will): druidcraft, produce flame, shillelagh 
• 1st level (4 slots): entangle, longstrider, speak with animals, thunderwave 
• 2nd level (3 slots): animal messenger, barkskin",Quarterstaff (One-Handed):  | Quarterstaff (Two-Handed):  | Quarterstaff (Shillelagh): ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062402/x0-b2M3WmU1TIOgYcsBXxQ/original.png
Dryad,Medium,fey,Neutral,11 (16 With Barkskin),22 (5d8),30 ft.,1,200,10,+0,12,+1,11,+0,14,+2,15,+2,18,+4,,"Perception +4, Stealth +5",14,Darkvision 60 Ft.,"Elvish, Sylvan",,,,,,,,,"Innate Spellcasting: The dryad's innate spellcasting ability is Charisma (spell save DC 14). The dryad can innately cast the following spells, requiring no material components:   At will: druidcraft 3/day each: entangle, goodberry 1/day each: barkskin, pass without trace, shillelagh | Magic Resistance: The dryad has advantage on saving throws against spells and other magical effects. | Speak with Beasts and Plants: The dryad can communicate with beasts and plants as if they shared a language. | Tree Stride: Once on her turn, the dryad can use 10 ft. of her movement to step magically into one living tree within her reach and emerge from a second living tree within 60 ft. of the first tree, appearing in an unoccupied space within 5 ft. of the second tree. Both trees must be large or bigger.","Club:  | Club (with shillelagh):  | Fey Charm: The dryad targets one humanoid or beast that she can see within 30 feet of her. If the target can see the dryad, it must succeed on a DC 14 Wisdom saving throw or be magically charmed. The charmed creature regards the dryad as a trusted friend to be heeded and protected. Although the target isn't under the dryad's control, it takes the dryad's requests or actions in the most favorable way it can. Each time the dryad or its allies do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the dryad dies, is on a different plane of existence from the target, or ends the effect as a bonus action. If a target's saving throw is successful, the target is immune to the dryad's Fey Charm for the next 24 hours. The dryad can have no more than one humanoid and up to three beasts charmed at a time.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062417/dSbSM7H6jgQW1VyHH8vfsg/original.png
Duergar,Medium,humanoid (dwarf),Lawful Evil,"16 (Scale Mail, Shield)",26 (4d8+4),25 ft.,1,200,14,+2,11,+0,14,+2,11,+0,10,+0,9,-1,,,10,Darkvision 120 Ft.,"Dwarvish, Undercommon",,,Poison,,,,,,"Duergar Resilience: The duergar has advantage on saving throws against poison, spells, and illusions, as well as to resist being charmed or paralyzed. | Sunlight Sensitivity: While in sunlight, the duergar has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Enlarge (Recharges after a Short or Long Rest): For 1 minute, the duergar magically increases in size, along with anything it is wearing or carrying. While enlarged, the duergar is Large, doubles its damage dice on Strength-based weapon attacks (included in the attacks), and makes Strength checks and Strength saving throws with advantage. If the duergar lacks the room to become Large, it attains the maximum size possible in the space available. | War Pick: while enlarged | War Pick:  | Javelin: while enlarged | Javelin: while enlarged | Javelin:  | Javelin:  | Invisibility (Recharges after a Short or Long Rest): The duergar magically turns invisible until it attacks, casts a spell, or uses its Enlarge, or until its concentration is broken, up to 1 hour (as if concentrating on a spell). Any equipment the duergar wears or carries is invisible with it.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062459/ldZZWm2mxTU4tM_yHeUF7g/original.png
Dust Mephit,Small,elemental,Neutral Evil,12,17 (5d6),"30 ft., fly 30 ft.",1/2,100,5,-3,14,+2,10,+0,9,-1,11,+0,10,+0,,"Perception +2, Stealth +4",12,Darkvision 60 Ft.,"Auran, Terran",Fire,,,Poison,Poisoned,,,,"Death Burst: When the mephit dies, it explodes in a burst of dust. Each creature within 5 ft. of it must then succeed on a DC 10 Constitution saving throw or be blinded for 1 minute. A blinded creature can repeat the saving throw on each of its turns, ending the effect on itself on a success. | Innate Spellcasting (1/Day): The mephit can innately cast sleep, requiring no material components. Its innate spellcasting ability is Charisma.","Claws:  | Blinding Breath (Recharge 6): The mephit exhales a 15-foot cone of blinding dust. Each creature in that area must succeed on a DC 10 Dexterity saving throw or be blinded for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390062479/xQiZoGtA6VdquwH2EDMpxQ/original.png
Eagle,Small,beast,Unaligned,12,3 (1d6),"10 ft., fly 60 ft.",0,10,6,-2,15,+2,10,+0,2,-4,14,+2,7,-2,,Perception +4,14,,,,,,,,,,,Keen Sight: The eagle has advantage on Wisdom (Perception) checks that rely on sight.,Talons: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390063498/q0AxKCmrmqzgGBckA7lWyg/original.png
