trait_name,count,patterns_notebook,patterns_core,patterns_any
Assassinate,1,surprise_attack|advantage_on_attack,core_has_advantage_attack|core_advantage_against,core_has_advantage_attack|surprise_attack|advantage_on_attack|core_advantage_against
Aversion of Fire,1,advantage_on_attack,,advantage_on_attack
Barbed Hide,1,,,
Ambusher,1,surprise_attack|advantage_on_attack,core_has_advantage_attack|core_advantage_against,core_has_advantage_attack|surprise_attack|advantage_on_attack|core_advantage_against
Adhesive,1,inflicts_grappled|escape_dc,,inflicts_grappled|escape_dc
Aggressive,1,,,
Aberrant Ground,1,has_saving_throw|speed_reduction,,has_saving_throw|speed_reduction
Acid Absorption,1,heals_on_damage,,heals_on_damage
Air Form,1,,,
Gnome Cunning,1,,,
Grappler,1,advantage_on_attack|inflicts_grappled,core_has_advantage_attack|core_advantage_against,core_has_advantage_attack|advantage_on_attack|inflicts_grappled|core_advantage_against
Death Throes,1,half_damage_on_save|death_burst|aura|explodes_on_death|save_or_effect|has_saving_throw,core_taking_damage,half_damage_on_save|core_taking_damage|death_burst|aura|explodes_on_death|save_or_effect|has_saving_throw
Limited Magic Immunity,1,,,
Limited Amphibiousness,1,,,
Light Sensitivity,1,advantage_on_attack,,advantage_on_attack
Labyrinthine Recall,1,,,
Keen Senses,1,,,
Ignited Illumination,1,extra_damage,,extra_damage
Invisibility,1,,,
Iron Scent,1,aura,,aura
Horrific Appearance,1,inflicts_frightened|surprise_attack|aura|advantage_on_attack|repeat_save|save_or_effect|has_saving_throw,core_advantage_against|core_multiattack_with,inflicts_frightened|surprise_attack|aura|advantage_on_attack|repeat_save|core_multiattack_with|core_advantage_against|save_or_effect|has_saving_throw
Hellish Weapons,1,,,
Grasping Tendrils,1,damage_immunity|has_saving_throw,,damage_immunity|has_saving_throw
Hellish Rejuvenation,1,,core_multiattack_with,core_multiattack_with
Consume Life,1,aura|has_saving_throw,,aura|has_saving_throw
Corrode Metal,1,,,
Corrosive Form,1,aura,core_takes_damage|core_multiattack_with,core_takes_damage|aura|core_multiattack_with
Cunning Action,1,,,
Ephemeral,1,,,
Duergar Resilience,1,,,
Divine Eminence,1,,,
Ethereal Sight,1,ethereal,,ethereal
Evasion,1,,,
Faultless Tracker,1,,,
Fear Aura,1,inflicts_frightened|has_saving_throw|aura|save_or_effect|inflicts_incapacitated,,inflicts_frightened|has_saving_throw|aura|save_or_effect|inflicts_incapacitated
Ethereal Jaunt,1,ethereal,,ethereal
Fire Absorption,1,heals_on_damage,,heals_on_damage
Fire Aura,1,aura,core_takes_damage|core_multiattack_with,core_takes_damage|aura|core_multiattack_with
Fire Form,1,ongoing_damage,core_takes_damage|core_multiattack_with,core_takes_damage|ongoing_damage|core_multiattack_with
Freedom of Movement,1,inflicts_restrained,,inflicts_restrained
Freeze,1,speed_reduction,,speed_reduction
Gibbering,1,aura|has_saving_throw,,aura|has_saving_throw
Ooze Cube,1,swallow|aura|has_saving_throw,core_takes_damage,core_takes_damage|aura|swallow|has_saving_throw
Nimble Escape,1,bonus_action_hide,,bonus_action_hide
Spell Storing,1,,core_multiattack_with,core_multiattack_with
Speak with Beasts and Plants,1,,core_multiattack_with,core_multiattack_with
Snow Camouflage,1,stealth_advantage,,stealth_advantage
Shielded Mind,1,,,
Shark Telepathy,1,aura,,aura
Rust Metal,1,,,
Sense Magic,1,aura,,aura
Shadow Stealth,1,bonus_action_hide,,bonus_action_hide
Reflective Carapace,1,,,
Running Leap,1,,core_multiattack_with,core_multiattack_with
Night Hag Items,1,ethereal,core_multiattack_with,core_multiattack_with|ethereal
Multiple Heads,1,damage_on_end_turn|regains_hp|explodes_on_death,,damage_on_end_turn|regains_hp|explodes_on_death
Mucous Cloud,1,has_saving_throw,core_multiattack_with,core_multiattack_with|has_saving_throw
Probing Telepathy,1,,core_multiattack_with,core_multiattack_with
Reactive,1,,,
Reactive Heads,1,,,
Martial Advantage,1,,core_multiattack_with,core_multiattack_with
Misty Escape,1,shapechange|regains_hp|inflicts_paralyzed,core_multiattack_with,shapechange|regains_hp|inflicts_paralyzed|core_multiattack_with
Treasure Sense,1,,,
Sunlight Weakness,1,advantage_on_attack,,advantage_on_attack
Steadfast,1,inflicts_frightened|aura,,inflicts_frightened|aura
Transparent,1,surprise_attack|has_saving_throw,,surprise_attack|has_saving_throw
Tail Spike Regrowth,1,,,
Tree Stride,1,,,
Two Heads,1,,,
Two-Headed,1,,,
Turn Defiance,1,,,
Turn Resistance,1,,,
Tunneler,1,,,
Variable Illumination,1,,,
Water Susceptibility,1,,,
Water Form,1,,,
