monster,cr,name,description,damage,damage_2,hit_bonus,source,name_normalized,patterns,pattern_count,patterns_core,pattern_count_core,patterns_str_core,patterns_any,pattern_count_any,patterns_str_any,patterns_str,ma_patterns,ma_pattern_count,has_parsing_issue,complexity_category,ma_patterns_str
Adult White Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Air Elemental,Unknown,Multiattack,The elemental makes two slam attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Ancient Black Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient Blue Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient Brass Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient Bronze Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient Copper Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient Gold Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient Green Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient Red Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient Silver Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Ancient White Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Androsphinx,Unknown,Multiattack,The sphinx makes two claw attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['claw_attacks'],1,False,simple_specific,claw_attacks
Animated Armor,Unknown,Multiattack,The armor makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Ape,Unknown,Multiattack,The ape makes two fist attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Assassin,Unknown,Multiattack,The assassin makes two shortsword attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['weapon_attack'],1,False,simple_specific,weapon_attack
Balor,Unknown,Multiattack,The balor makes two attacks: one with its longsword and one with its whip.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Bandit Captain,Unknown,Multiattack,The captain makes three melee attacks: two with its scimitar and one with its dagger. Or the captain makes two ranged attacks with its daggers.,,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_with'],1,core_multiattack_with,"['multiattack', 'core_multiattack_with']",2,core_multiattack_with|multiattack,multiattack,"['count_three', 'or_alternative', 'with_its', 'one_with', 'two_with']",5,True,or_alternative,count_three|or_alternative|with_its|one_with|two_with
Barbed Devil,Unknown,Multiattack,"The devil makes three melee attacks: one with its tail and two with its claws. Alternatively, it can use Hurl Flame twice.",,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_with'],1,core_multiattack_with,"['multiattack', 'core_multiattack_with']",2,core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Bearded Devil,Unknown,Multiattack,The devil makes two attacks: one with its beard and one with its glaive.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Behir,Unknown,Multiattack,The behir makes two attacks: one with its bite and one to constrict.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Black Bear,Unknown,Multiattack,The bear makes two attacks: one with its bite and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Bone Devil,Unknown,Multiattack,The devil makes three attacks: two with its claws and one with its sting.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Brown Bear,Unknown,Multiattack,The bear makes two attacks: one with its bite and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Centaur,Unknown,Multiattack,The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'or_alternative', 'with_its', 'one_with', 'two_with']",5,True,or_alternative,count_two|or_alternative|with_its|one_with|two_with
Chain Devil,Unknown,Multiattack,The devil makes two attacks with its chains.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its']",2,False,simple_specific,count_two|with_its
Chimera,Unknown,Multiattack,"The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns.",,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'or_alternative', 'with_its', 'one_with']",4,True,or_alternative,count_three|or_alternative|with_its|one_with
Chuul,Unknown,Multiattack,"The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.",,,,Actions,Multiattack,[],0,[],0,,[],0,,,['if_condition'],1,True,conditional,if_condition
Clay Golem,Unknown,Multiattack,The golem makes two slam attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Cloaker,Unknown,Multiattack,The cloaker makes two attacks: one with its bite and one with its tail.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Cloud Giant,Unknown,Multiattack,The giant makes two morningstar attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Cult Fanatic,Unknown,Multiattack,The fanatic makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Death Dog,Unknown,Multiattack,The dog makes two bite attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Deva,Unknown,Multiattack,The deva makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Djinni,Unknown,Multiattack,The djinni makes three scimitar attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Doppelganger,Unknown,Multiattack,The doppelganger makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Dragon Turtle,Unknown,Multiattack,The dragon turtle makes three attacks: one with its bite and two with its claws. It can make one tail attack in place of its two claw attacks.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with', 'claw_attacks']",5,False,simple_specific,count_three|with_its|one_with|two_with|claw_attacks
Dretch,Unknown,Multiattack,The dretch makes two attacks: one with its bite and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Drider,Unknown,Multiattack,"The drider makes three attacks, either with its longsword or its longbow. It can replace one of those attacks with a bite attack.",,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'or_alternative', 'with_its']",3,True,or_alternative,count_three|or_alternative|with_its
Earth Elemental,Unknown,Multiattack,The elemental makes two slam attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Efreeti,Unknown,Multiattack,The efreeti makes two scimitar attacks or uses its Hurl Flame twice.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['or_alternative'],1,True,or_alternative,or_alternative
Erinyes,Unknown,Multiattack,The erinyes makes three attacks,,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_three'],1,core_multiattack_three,"['multiattack', 'core_multiattack_three']",2,core_multiattack_three|multiattack,multiattack,['count_three'],1,False,simple_count,count_three
Ettercap,Unknown,Multiattack,The ettercap makes two attacks: one with its bite and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Ettin,Unknown,Multiattack,The ettin makes two attacks: one with its battleaxe and one with its morningstar.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Fire Elemental,Unknown,Multiattack,The elemental makes two touch attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Fire Giant,Unknown,Multiattack,The giant makes two greatsword attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['weapon_attack'],1,False,simple_specific,weapon_attack
Flesh Golem,Unknown,Multiattack,The golem makes two slam attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Frost Giant,Unknown,Multiattack,The giant makes two greataxe attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['weapon_attack'],1,False,simple_specific,weapon_attack
Gargoyle,Unknown,Multiattack,The gargoyle makes two attacks: one with its bite and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Giant Ape,Unknown,Multiattack,The ape makes two fist attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Giant Badger,Unknown,Multiattack,The badger makes two attacks: one with its bite and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Giant Crocodile,Unknown,Multiattack,The crocodile makes two attacks: one with its bite and one with its tail.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Giant Eagle,Unknown,Multiattack,The eagle makes two attacks: one with its beak and one with its talons.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Giant Scorpion,Unknown,Multiattack,The scorpion makes three attacks: two with its claws and one with its sting.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Giant Vulture,Unknown,Multiattack,The vulture makes two attacks: one with its beak and one with its talons.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Gibbering Mouther,Unknown,Multiattack,"The gibbering mouther makes one bite attack and, if it can, uses its Blinding Spittle.",,,,Actions,Multiattack,[],0,[],0,,[],0,,,['bite_attack'],1,False,simple_specific,bite_attack
Glabrezu,Unknown,Multiattack,"The glabrezu makes four attacks: two with its pincers and two with its fists. Alternatively, it makes two attacks with its pincers and casts one spell.",,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'count_four', 'with_its', 'two_with']",4,False,simple_specific,count_two|count_four|with_its|two_with
Gladiator,Unknown,Multiattack,The gladiator makes three melee attacks or two ranged attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,"['count_three', 'or_alternative']",2,True,or_alternative,count_three|or_alternative
Grick,Unknown,Multiattack,"The grick makes one attack with its tentacles. If that attack hits, the grick can make one beak attack against the same target.",,,,Actions,Multiattack,[],0,['core_multiattack_with'],1,core_multiattack_with,['core_multiattack_with'],1,core_multiattack_with,,"['with_its', 'if_condition']",2,True,conditional,with_its|if_condition
Griffon,Unknown,Multiattack,The griffon makes two attacks: one with its beak and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Gynosphinx,Unknown,Multiattack,The sphinx makes two claw attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['claw_attacks'],1,False,simple_specific,claw_attacks
Half-Red Dragon Veteran,Unknown,Multiattack,"The veteran makes two longsword attacks. If it has a shortsword drawn, it can also make a shortsword attack.",,,,Actions,Multiattack,[],0,[],0,,[],0,,,"['if_condition', 'weapon_attack']",2,True,conditional,if_condition|weapon_attack
Harpy,Unknown,Multiattack,The harpy makes two attacks: one with its claws and one with its club.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Hezrou,Unknown,Multiattack,The hezrou makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Hill Giant,Unknown,Multiattack,The giant makes two greatclub attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
