action_name,count,patterns_notebook,patterns_core,patterns_any
Horrifying Visage,1,inflicts_frightened|fear_effect|repeat_save|has_saving_throw,core_multiattack_with,inflicts_frightened|fear_effect|repeat_save|core_multiattack_with|has_saving_throw
Horror Nimbus,1,inflicts_frightened|aura|repeat_save|has_saving_throw,,inflicts_frightened|aura|repeat_save|has_saving_throw
Haste,1,,,
Heart Sight,1,save_or_effect|has_saving_throw,,save_or_effect|has_saving_throw
Frost Breath,1,save_or_effect|half_damage_on_save|has_saving_throw,core_taking_damage,save_or_effect|core_taking_damage|half_damage_on_save|has_saving_throw
Fling,1,inflicts_prone|inflicts_grappled|has_saving_throw,core_takes_damage|core_knocked_prone,core_takes_damage|core_knocked_prone|inflicts_prone|inflicts_grappled|has_saving_throw
Fetid Cloud,1,inflicts_poisoned|has_saving_throw,,inflicts_poisoned|has_saving_throw
Enslave,1,repeat_save|charm_effect|has_saving_throw,core_multiattack_with,charm_effect|repeat_save|core_multiattack_with|has_saving_throw
Paralyzing Touch,1,inflicts_paralyzed|repeat_save|has_saving_throw,,inflicts_paralyzed|repeat_save|has_saving_throw
Nightmare Haunting,1,reduces_hp_max|ethereal,,reduces_hp_max|ethereal
Luring Song,1,has_saving_throw|charm_effect|repeat_save|inflicts_charmed|inflicts_incapacitated,,has_saving_throw|charm_effect|repeat_save|inflicts_charmed|inflicts_incapacitated
Moan,1,inflicts_frightened|aura|has_saving_throw,,inflicts_frightened|aura|has_saving_throw
Lightning Strike,1,save_or_effect|aura|half_damage_on_save|has_saving_throw,core_taking_damage,half_damage_on_save|core_taking_damage|aura|save_or_effect|has_saving_throw
Intoxicating Touch,1,,,
Leadership,1,inflicts_incapacitated,,inflicts_incapacitated
Lightning Storm,1,save_or_effect|aura|half_damage_on_save|has_saving_throw,core_taking_damage,half_damage_on_save|core_taking_damage|aura|save_or_effect|has_saving_throw
Roar,1,inflicts_frightened|fear_effect|aura|repeat_save|inflicts_prone|save_or_effect|inflicts_paralyzed|has_saving_throw,core_takes_damage|core_knocked_prone,inflicts_frightened|core_takes_damage|fear_effect|core_knocked_prone|aura|inflicts_prone|repeat_save|save_or_effect|inflicts_paralyzed|has_saving_throw
Rotting Touch,1,,,
Scare,1,inflicts_frightened|repeat_save|has_saving_throw,core_multiattack_with,inflicts_frightened|repeat_save|core_multiattack_with|has_saving_throw
Phantasms,1,,core_multiattack_with,core_multiattack_with
Possession,1,has_saving_throw|inflicts_incapacitated,,has_saving_throw|inflicts_incapacitated
Read Thoughts,1,,,
Reel,1,inflicts_grappled,,inflicts_grappled
Petrifying Breath,1,repeat_save|save_or_effect|inflicts_restrained|inflicts_petrified|has_saving_throw,,repeat_save|save_or_effect|inflicts_restrained|inflicts_petrified|has_saving_throw
Smother,1,inflicts_restrained|inflicts_grappled|escape_dc,core_takes_damage,core_takes_damage|inflicts_restrained|inflicts_grappled|escape_dc
Slow,1,save_or_effect|repeat_save|has_saving_throw,,save_or_effect|repeat_save|has_saving_throw
Shriek,1,aura,,aura
Shock,1,,,
Shield Bash,1,inflicts_prone|has_saving_throw,core_knocked_prone,inflicts_prone|core_knocked_prone|has_saving_throw
Spores,1,inflicts_poisoned|ongoing_damage|repeat_save|has_saving_throw,core_takes_damage,core_takes_damage|inflicts_poisoned|ongoing_damage|repeat_save|has_saving_throw
Strength Drain,1,,,
Spit Poison,1,save_or_effect|half_damage_on_save|has_saving_throw,,save_or_effect|half_damage_on_save|has_saving_throw
Tendril,1,inflicts_restrained|inflicts_grappled|escape_dc,,inflicts_restrained|inflicts_grappled|escape_dc
Stunning Screech,1,aura|inflicts_stunned|has_saving_throw,,aura|inflicts_stunned|has_saving_throw
Variant: Summon Mephits,1,aura,,aura
Unarmed Strike,1,escape_dc,,escape_dc
Wall of Ice,1,half_damage_on_save|has_saving_throw|damage_immunity|death_burst|aura|explodes_on_death|save_or_effect|inflicts_incapacitated,core_taking_damage,half_damage_on_save|has_saving_throw|damage_immunity|core_taking_damage|death_burst|aura|inflicts_incapacitated|save_or_effect|explodes_on_death
Whelm,1,aura|inflicts_grappled|escape_dc|inflicts_restrained|has_saving_throw,core_takes_damage,core_takes_damage|aura|inflicts_grappled|escape_dc|inflicts_restrained|has_saving_throw
Whirlwind,1,inflicts_prone|has_saving_throw,core_takes_damage|core_knocked_prone,core_takes_damage|inflicts_prone|core_knocked_prone|has_saving_throw
Withering Touch,1,,,
