Monster Name,CR,Primary Archetype,Primary Archetype Score,Secondary Archetype,Secondary Archetype Score,Primary Role,Primary Role Score,Secondary Role,Secondary Role Score
Weasel,0.0,Minion,0.2,,0.0,Skirmisher,0.4,,0.2
Animated Object (Small or Medium),0.0,Minion,0.2,,0.0,Brute,0.3,,0.2
Animated Object (Tiny),0.0,Minion,0.2,,0.0,Brute,0.3,,0.2
Animated Object (Large),0.0,Minion,0.2,,0.0,Brute,0.6,Spellcaster,0.6
Animated Object (Huge),0.0,Minion,0.2,,0.0,Brute,0.6,Spellcaster,0.6
Giant Rat,0.125,Minion,0.9,Lieutenant,0.3,Brute,0.8,Tank,0.3
Guard,0.125,Minion,0.2,,0.0,Brute,0.6,Artillery,0.6
Giant Weasel,0.125,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Pony,0.125,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Merfolk,0.125,Minion,0.2,,0.0,Brute,0.8,Artillery,0.6
Merfolk Skirmisher,0.125,Lieutenant,0.3,,0.2,Brute,0.8,Artillery,0.6
Cultist,0.125,Minion,0.2,,0.0,Brute,0.8,Controller,0.4
Diseased Giant Rat,0.125,Minion,0.9,Lieutenant,0.3,Brute,0.8,Tank,0.3
Poisonous Snake,0.125,Minion,0.2,,0.0,Brute,0.5,,0.2
Camel,0.125,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Mastiff,0.125,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Slaad Tadpole,0.125,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Warrior Infantry,0.125,Minion,0.9,Lieutenant,0.3,Brute,0.8,Artillery,0.6
Blood Hawk,0.125,Minion,0.9,Lieutenant,0.3,Brute,0.8,Tank,0.3
Noble,0.125,Boss,0.2,,0.2,Brute,0.6,Tank,0.5
Mule,0.125,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Bandit,0.125,Minion,0.2,,0.0,Brute,0.8,Artillery,0.6
Tribal Warrior,0.125,Minion,0.9,Lieutenant,0.3,Brute,0.8,Artillery,0.6
Venomous Snake,0.125,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Kobold Warrior,0.125,Minion,0.9,Lieutenant,0.3,Brute,0.6,Artillery,0.6
Flying Snake,0.125,Minion,0.2,,0.0,Brute,0.6,Skirmisher,0.5
Stirge,0.125,Minion,0.2,,0.0,Skirmisher,0.5,Brute,0.3
Kobold,0.125,Minion,0.9,Lieutenant,0.3,Brute,0.8,Artillery,0.6
Giant Crab,0.125,Minion,0.2,,0.0,Brute,0.6,Tank,0.5
Goblin Minion,0.125,Minion,0.2,,0.0,Brute,0.8,Artillery,0.6
Giant Wolf Spider,0.25,Minion,0.2,,0.0,Brute,0.8,Controller,0.7
Giant Venomous Snake,0.25,Minion,0.2,,0.0,Brute,0.6,Tank,0.3
Sprite,0.25,Lieutenant,0.3,,0.2,Artillery,0.8,Skirmisher,0.7
Giant Lizard,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Giant Owl,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Giant Badger,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Giant Bat,0.25,Minion,0.2,,0.0,Brute,0.8,Skirmisher,0.5
Giant Frog,0.25,Solo Challenge,0.7,,0.2,Brute,0.8,Controller,0.6
Giant Poisonous Snake,0.25,Minion,0.2,,0.0,Brute,0.6,Tank,0.3
Dretch,0.25,Solo Challenge,0.4,,0.2,Brute,0.8,Tank,0.3
Grimlock,0.25,Minion,0.2,,0.0,Brute,0.8,Ambusher,0.4
Giant Centipede,0.25,Minion,0.2,,0.0,Brute,0.5,Controller,0.4
Steam Mephit,0.25,Solo Challenge,0.4,,0.2,Brute,0.8,Spellcaster,0.6
Elk,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Draft Horse,0.25,Minion,0.2,,0.0,Brute,1.0,Tank,0.3
Skeleton,0.25,Minion,0.2,,0.0,Brute,0.8,Artillery,0.6
Panther,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Riding Horse,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Blink Dog,0.25,Lieutenant,0.3,Solo Challenge,0.3,Brute,0.8,Tank,0.3
Violet Fungus,0.25,Minion,0.2,,0.0,Brute,0.5,Tank,0.3
Zombie,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.5
Boar,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Axe Beak,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Constrictor Snake,0.25,Minion,0.2,,0.0,Brute,0.8,Controller,0.4
Flying Sword,0.25,Minion,0.2,,0.0,Tank,0.7,Brute,0.6
Swarm of Bats,0.25,Minion,0.2,,0.0,Swarm,0.9,Brute,0.8
Drow,0.25,Minion,0.2,,0.0,Controller,0.7,Brute,0.6
Pseudodragon,0.25,Lieutenant,0.3,,0.2,Brute,0.8,Tank,0.3
Priest Acolyte,0.25,Minion,0.2,,0.0,Brute,0.8,Spellcaster,0.6
Swarm of Ravens,0.25,Minion,0.2,,0.0,Swarm,0.9,Brute,0.8
Pteranodon,0.25,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Goblin,0.25,Minion,0.2,,0.0,Brute,0.6,Artillery,0.6
Bullywug Warrior,0.25,Solo Challenge,0.3,,0.2,Brute,0.6,Tank,0.5
Acolyte,0.25,Boss,0.2,,0.2,Brute,0.8,Spellcaster,0.6
Swarm of Rats,0.25,Minion,0.2,,0.0,Swarm,0.9,Brute,0.8
Animated Flying Sword,0.25,Minion,0.2,,0.0,Tank,0.7,Brute,0.6
Goblin Warrior,0.25,Minion,0.2,,0.0,Brute,0.6,Artillery,0.6
Wolf,0.25,Minion,0.9,Lieutenant,0.3,Brute,0.8,Tank,0.3
Swarm of Spiders,0.5,Minion,0.2,,0.0,Swarm,0.9,Brute,0.8
Cockatrice,0.5,Lieutenant,0.3,,0.2,Brute,0.8,Tank,0.3
Tough,0.5,Minion,0.9,Lieutenant,0.3,Brute,0.8,Artillery,0.6
Thug,0.5,Minion,0.9,Lieutenant,0.3,Brute,0.8,Artillery,0.6
Swarm of Wasps,0.5,Minion,0.2,,0.0,Swarm,0.9,Brute,0.8
Reef Shark,0.5,Minion,0.9,Lieutenant,0.3,Brute,0.8,Tank,0.3
Deep Gnome (Svirfneblin),0.5,Minion,0.2,,0.0,Brute,0.6,Spellcaster,0.6
Crocodile,0.5,Minion,0.2,,0.0,Brute,0.8,Controller,0.4
Darkmantle,0.5,Solo Challenge,0.7,,0.2,Brute,0.8,Tank,0.3
Swarm of Beetles,0.5,Minion,0.2,,0.0,Swarm,0.9,Brute,0.8
Magmin,0.5,Solo Challenge,0.4,,0.2,Brute,0.3,,0.0
Scout,0.5,Minion,0.2,,0.0,Brute,0.8,Artillery,0.6
Lizardfolk,0.5,Minion,0.2,,0.0,Brute,0.6,Artillery,0.6
Magma Mephit,0.5,Solo Challenge,0.4,Lieutenant,0.3,Brute,0.8,Spellcaster,0.6
Shadow,0.5,Minion,0.2,,0.0,Brute,0.8,Ambusher,0.4
Swarm of Insects,0.5,Minion,0.2,,0.0,Swarm,0.9,Brute,0.8
Orc,0.5,Minion,0.2,,0.0,Brute,0.8,Artillery,0.6
Warhorse Skeleton,0.5,Minion,0.2,,0.0,Brute,1.0,Tank,0.3
Warhorse,0.5,Minion,0.2,,0.0,Brute,1.0,Tank,0.3
Sahuagin Warrior,0.5,Lieutenant,0.3,,0.2,Brute,0.8,Tank,0.3
Sahuagin,0.5,Lieutenant,0.3,,0.2,Brute,0.8,Artillery,0.6
Ape,0.5,Minion,0.2,,0.0,Brute,0.8,Artillery,0.6
Satyr,0.5,Minion,0.2,,0.0,Brute,0.6,Artillery,0.6
Rust Monster,0.5,Solo Challenge,0.4,,0.2,Brute,0.6,Tank,0.3
Black Bear,0.5,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Gnoll Warrior,0.5,Minion,0.2,,0.0,Brute,0.6,Artillery,0.6
Gnoll,0.5,Minion,0.2,,0.0,Brute,0.6,Artillery,0.6
Giant Seahorse,0.5,Minion,0.2,,0.0,Brute,0.6,Tank,0.3
Giant Wasp,0.5,Minion,0.2,,0.0,Brute,0.8,Controller,0.4
Giant Sea Horse,0.5,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Swarm of Centipedes,0.5,Minion,0.2,,0.0,Swarm,0.9,Brute,0.8
Hobgoblin,0.5,Lieutenant,0.3,,0.2,Tank,0.7,Brute,0.6
Giant Goat,0.5,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Ice Mephit,0.5,Solo Challenge,0.4,,0.2,Brute,0.8,Spellcaster,0.6
Hobgoblin Warrior,0.5,Minion,0.9,Lieutenant,0.3,Tank,0.7,Brute,0.6
Dust Mephit,0.5,Solo Challenge,0.4,,0.2,Brute,0.8,Spellcaster,0.6
Gray Ooze,0.5,Minion,0.2,,0.0,Brute,0.8,Tank,0.5
Worg,0.5,Minion,0.2,,0.0,Brute,0.8,Tank,0.3
Troll Limb,0.5,Minion,0.2,,0.0,Brute,1.0,Tank,0.3
Goblin Boss,1.0,Boss,0.5,,0.0,Tank,0.7,Brute,0.6
Giant Spider,1.0,,0.0,,0.0,Controller,0.9,Brute,0.6
Giant Toad,1.0,Solo Challenge,0.7,,0.0,Brute,0.8,Controller,0.6
Giant Vulture,1.0,Minion,0.7,Lieutenant,0.3,Brute,0.8,Tank,0.3
Sphinx of Wonder,1.0,,0.0,,0.0,Brute,0.8,Skirmisher,0.5
Hippogriff,1.0,,0.0,,0.0,Brute,0.8,Tank,0.3
Giant Octopus,1.0,,0.0,,0.0,Brute,0.8,Controller,0.4
Giant Hyena,1.0,,0.0,,0.0,Brute,0.8,Tank,0.3
Giant Eagle,1.0,,0.0,,0.0,Brute,0.8,Skirmisher,0.5
Ghoul,1.0,,0.0,,0.0,Brute,0.8,Tank,0.3
Spy,1.0,Lieutenant,0.3,,0.2,Brute,0.8,Artillery,0.6
Harpy,1.0,,0.0,,0.0,Brute,0.8,Tank,0.3
Lion,1.0,Minion,0.7,Lieutenant,0.3,Brute,0.8,Tank,0.3
Imp,1.0,Lieutenant,0.3,,0.0,Skirmisher,0.7,Brute,0.5
Duergar,1.0,Lieutenant,0.3,Solo Challenge,0.3,Brute,0.6,Artillery,0.6
Dryad,1.0,Lieutenant,0.3,,0.2,Brute,0.8,Spellcaster,0.6
Swarm of Piranhas,1.0,,0.0,,0.0,Swarm,0.9,Brute,0.8
Brown Bear,1.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Quasit,1.0,Lieutenant,0.3,,0.0,Brute,0.5,Skirmisher,0.4
Pirate,1.0,,0.0,,0.0,Brute,0.6,Artillery,0.6
Bugbear,1.0,,0.0,,0.0,Brute,0.6,Artillery,0.6
Bugbear Warrior,1.0,,0.0,,0.0,Brute,0.6,Artillery,0.6
Specter,1.0,,0.0,,0.0,Brute,0.8,Tank,0.3
Swarm of Quippers,1.0,,0.0,,0.0,Swarm,0.9,Brute,0.8
Dire Wolf,1.0,Enhanced,0.8,Minion,0.7,Brute,0.6,Tank,0.3
Death Dog,1.0,,0.0,,0.0,Brute,0.8,Controller,0.6
Tiger,1.0,,0.0,,0.0,Brute,0.8,Tank,0.3
Copper Dragon Wyrmling,1.0,Solo Challenge,0.4,,0.0,Brute,0.6,Tank,0.5
Animated Armor,1.0,,0.0,,0.0,Tank,0.7,Brute,0.3
Brass Dragon Wyrmling,1.0,Solo Challenge,0.4,,0.0,Brute,0.3,Skirmisher,0.3
Will-o'-Wisp,2.0,Solo Challenge,0.4,Lieutenant,0.3,Skirmisher,0.7,Tank,0.4
White Dragon Wyrmling,2.0,Solo Challenge,0.4,,0.0,Brute,0.3,Skirmisher,0.3
Merrow,2.0,,0.0,,0.0,Brute,1.0,Artillery,0.6
Silver Dragon Wyrmling,2.0,Solo Challenge,0.4,,0.0,Brute,0.9,Tank,0.9
Druid,2.0,Boss,0.2,,0.0,Spellcaster,0.9,,0.2
Ettercap,2.0,,0.0,,0.0,Brute,0.8,Controller,0.7
Cult Fanatic,2.0,,0.0,,0.0,Spellcaster,0.9,Artillery,0.6
Cultist Fanatic,2.0,,0.0,,0.0,Brute,0.8,Spellcaster,0.6
Ochre Jelly,2.0,,0.0,,0.0,Brute,0.8,Tank,0.3
Ogre Zombie,2.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Centaur,2.0,,0.0,,0.0,Brute,1.0,Artillery,0.6
Priest,2.0,Lieutenant,0.3,,0.2,Spellcaster,0.9,,0.2
Carrion Crawler,2.0,Lieutenant,0.3,,0.0,Brute,0.8,Tank,0.5
Ogre,2.0,,0.0,,0.0,Brute,1.0,Artillery,0.6
Swarm of Poisonous Snakes,2.0,,0.0,,0.0,Swarm,0.9,,0.2
Mimic,2.0,,0.0,,0.0,Brute,0.8,Tank,0.3
Swarm of Venomous Snakes,2.0,,0.0,,0.0,Swarm,0.9,Brute,0.3
Sea Hag,2.0,Lieutenant,0.3,,0.0,Brute,0.6,Tank,0.5
Grick,2.0,,0.0,,0.0,Ambusher,0.4,Brute,0.3
Giant Elk,2.0,,0.0,,0.0,Brute,0.9,Skirmisher,0.5
Griffon,2.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Giant Boar,2.0,,0.0,,0.0,Brute,0.8,Tank,0.5
Gelatinous Cube,2.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Ghast,2.0,,0.0,,0.0,Brute,0.5,Controller,0.4
Hunter Shark,2.0,,0.0,,0.0,Brute,1.0,Tank,0.3
Giant Constrictor Snake,2.0,,0.0,,0.0,Brute,1.0,Controller,0.4
Gibbering Mouther,2.0,Solo Challenge,0.4,,0.0,Brute,0.5,Tank,0.5
Ankheg,2.0,,0.0,,0.0,Brute,0.6,Tank,0.3
Green Dragon Wyrmling,2.0,Solo Challenge,0.4,,0.0,Tank,0.7,Brute,0.6
Animated Rug of Smothering,2.0,,0.0,,0.0,Brute,0.5,Controller,0.4
Gargoyle,2.0,,0.0,,0.0,Tank,0.7,Brute,0.6
Plesiosaurus,2.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Wererat,2.0,,0.0,,0.0,Artillery,0.6,,0.2
Allosaurus,2.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Minotaur Skeleton,2.0,Solo Challenge,0.3,,0.0,Brute,1.0,Tank,0.3
Centaur Trooper,2.0,,0.0,,0.0,Brute,0.9,Artillery,0.6
Nothic,2.0,Lieutenant,0.3,,0.0,Tank,0.7,Brute,0.6
Polar Bear,2.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Black Dragon Wyrmling,2.0,Solo Challenge,0.4,,0.0,Tank,0.4,Brute,0.3
Bandit Captain,2.0,Lieutenant,0.6,,0.0,Brute,0.6,Artillery,0.6
Awakened Tree,2.0,,0.0,,0.0,Brute,1.0,Tank,0.3
Azer,2.0,Solo Challenge,0.4,,0.0,Tank,0.7,Brute,0.6
Azer Sentinel,2.0,Solo Challenge,0.4,,0.0,Tank,0.7,Brute,0.6
Saber-Toothed Tiger,2.0,,0.0,,0.0,Brute,1.0,Tank,0.3
Rug of Smothering,2.0,,0.0,,0.0,Controller,0.4,,0.2
Rhinoceros,2.0,,0.0,,0.0,Brute,1.0,Tank,0.3
Bronze Dragon Wyrmling,2.0,Solo Challenge,0.4,,0.0,Tank,0.4,Brute,0.3
Berserker,2.0,,0.0,,0.0,Brute,0.8,Tank,0.5
Pegasus,2.0,,0.0,,0.0,Brute,1.0,Skirmisher,0.6
Werewolf,3.0,,0.0,,0.0,Artillery,0.6,Brute,0.5
Bugbear Stalker,3.0,,0.0,,0.0,Brute,0.6,Artillery,0.6
Owlbear,3.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Green Hag,3.0,Lieutenant,0.3,,0.0,Brute,0.9,Tank,0.9
Giant Scorpion,3.0,,0.0,,0.0,Brute,0.3,,0.2
Hell Hound,3.0,Minion,0.7,Solo Challenge,0.4,Brute,0.3,Skirmisher,0.3
Warrior Veteran,3.0,Lieutenant,0.6,,0.0,Tank,0.7,Brute,0.6
Wight,3.0,,0.0,,0.0,Artillery,0.6,Brute,0.3
Mummy,3.0,,0.0,,0.0,Brute,0.8,Controller,0.4
Phase Spider,3.0,Lieutenant,0.3,,0.0,Controller,0.7,Brute,0.5
Killer Whale,3.0,,0.0,,0.0,Brute,1.0,Tank,0.3
Doppelganger,3.0,Lieutenant,0.3,,0.0,Ambusher,0.4,Artillery,0.3
Knight,3.0,Lieutenant,0.6,,0.0,Artillery,0.6,Tank,0.4
Manticore,3.0,,0.0,,0.0,Brute,0.6,Artillery,0.6
Nightmare,3.0,Solo Challenge,0.4,Lieutenant,0.3,Brute,1.0,Skirmisher,0.6
Minotaur of Baphomet,3.0,,0.0,,0.0,Brute,0.9,Tank,0.5
Minotaur,3.0,Solo Challenge,0.3,,0.0,Brute,0.9,Tank,0.5
Ankylosaurus,3.0,,0.0,,0.0,Brute,0.9,Tank,0.5
Bearded Devil,3.0,,0.0,,0.0,Controller,0.7,Brute,0.5
Basilisk,3.0,Lieutenant,0.3,,0.0,Ambusher,0.4,Brute,0.3
Veteran,3.0,Lieutenant,0.6,,0.0,Tank,0.7,Artillery,0.6
Blue Dragon Wyrmling,3.0,Solo Challenge,0.4,,0.0,Tank,0.4,Skirmisher,0.3
Swarm of Crawling Claws,3.0,,0.0,,0.0,Swarm,0.9,Brute,0.5
Hobgoblin Captain,3.0,Lieutenant,0.9,,0.0,Tank,0.7,Brute,0.6
Vampire Familiar,3.0,Lieutenant,0.3,,0.0,Brute,0.6,Artillery,0.6
Winter Wolf,3.0,Minion,0.7,Solo Challenge,0.4,Brute,0.8,Ambusher,0.4
Gold Dragon Wyrmling,3.0,Solo Challenge,0.4,,0.0,Tank,0.9,Brute,0.6
Ghost,4.0,Boss,0.2,,0.0,Controller,0.7,Brute,0.5
Hippopotamus,4.0,,0.0,,0.0,Brute,0.9,Tank,0.3
Weretiger,4.0,,0.0,,0.0,Artillery,0.6,Brute,0.5
Wereboar,4.0,,0.0,,0.0,Brute,0.5,Tank,0.3
Red Dragon Wyrmling,4.0,Solo Challenge,0.4,,0.0,Tank,0.9,Brute,0.6
Archelon,4.0,,0.0,,0.0,Brute,0.9,Tank,0.7
Black Pudding,4.0,,0.0,,0.0,Brute,0.8,Tank,0.5
Guard Captain,4.0,Lieutenant,0.6,,0.0,Brute,0.9,Tank,0.9
Elephant,4.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Tough Boss,4.0,Minion,0.7,Boss,0.5,Tank,0.7,Brute,0.6
Lamia,4.0,Lieutenant,0.3,,0.0,Brute,0.8,Spellcaster,0.6
Incubus,4.0,Lieutenant,0.3,,0.2,Skirmisher,0.5,Artillery,0.3
Couatl,4.0,Lieutenant,0.3,,0.0,Tank,0.9,Spellcaster,0.6
Ettin,4.0,,0.0,,0.0,Brute,1.0,Controller,0.6
Bullywug Bog Sage,4.0,Solo Challenge,0.3,,0.0,Spellcaster,0.6,Brute,0.3
Chuul,4.0,,0.0,,0.0,Brute,0.9,Tank,0.7
Succubus (Incubus),4.0,Lieutenant,0.3,,0.2,Skirmisher,0.5,Artillery,0.3
Succubus,4.0,Lieutenant,0.3,,0.2,Skirmisher,0.5,Artillery,0.3
Troll,5.0,,0.0,,0.0,Brute,0.6,Tank,0.4
Unicorn,5.0,Boss,1.0,Lieutenant,0.3,Brute,0.8,Spellcaster,0.6
Air Elemental,5.0,,0.0,,0.0,Skirmisher,0.5,Brute,0.3
Triceratops,5.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Bulette,5.0,Solo Challenge,0.3,,0.0,Brute,0.9,Tank,0.9
Otyugh,5.0,Lieutenant,0.3,,0.0,Brute,0.9,Controller,0.6
Night Hag,5.0,Lieutenant,0.3,,0.0,Tank,0.9,Brute,0.6
Shambling Mound,5.0,,0.0,,0.0,Brute,0.9,Tank,0.7
Fire Elemental,5.0,Solo Challenge,0.4,,0.0,Brute,0.5,Tank,0.5
Earth Elemental,5.0,,0.0,,0.0,Brute,0.9,Tank,0.9
Xorn,5.0,,0.0,,0.0,Tank,0.6,Brute,0.6
Vampire Spawn,5.0,,0.0,,0.0,Tank,0.4,Controller,0.4
Werebear,5.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Water Elemental,5.0,Lieutenant,0.3,,0.0,Brute,0.9,Tank,0.5
Giant Shark,5.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Hill Giant,5.0,,0.0,,0.0,Brute,1.0,Artillery,0.6
Half-Red Dragon Veteran,5.0,Lieutenant,0.6,Solo Challenge,0.4,Artillery,0.6,Tank,0.4
Half-Dragon,5.0,Solo Challenge,0.7,,0.0,Brute,0.9,Tank,0.9
Giant Crocodile,5.0,,0.0,,0.0,Brute,0.6,Controller,0.6
Flesh Golem,5.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Gorgon,5.0,Solo Challenge,0.4,,0.0,Tank,0.9,Brute,0.6
Gladiator,5.0,,0.0,,0.0,Brute,0.9,Tank,0.7
Barbed Devil,5.0,,0.0,,0.0,Brute,0.9,Tank,0.7
Salamander,5.0,Lieutenant,0.3,,0.0,Brute,0.6,Artillery,0.6
Roper,5.0,Solo Challenge,0.3,,0.0,Brute,0.9,Tank,0.9
Wraith,5.0,,0.0,,0.0,Brute,0.5,Skirmisher,0.5
Wyvern,6.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Mage,6.0,Boss,0.2,,0.0,Spellcaster,0.9,Artillery,0.8
Mammoth,6.0,,0.0,,0.0,Brute,1.0,Tank,0.5
Pirate Captain,6.0,Lieutenant,0.6,,0.0,Artillery,0.6,Tank,0.4
Medusa,6.0,,0.0,,0.0,Tank,0.7,Brute,0.6
Chimera,6.0,Solo Challenge,0.4,,0.0,Brute,0.6,Tank,0.5
Drider,6.0,,0.0,,0.0,Tank,0.9,Brute,0.6
Invisible Stalker,6.0,,0.0,,0.0,Skirmisher,0.8,,0.0
Young Brass Dragon,6.0,Solo Challenge,0.4,,0.0,Brute,0.9,Tank,0.9
Young White Dragon,6.0,Solo Challenge,0.4,Lieutenant,0.3,Brute,0.9,Tank,0.9
Vrock,6.0,,0.0,,0.0,Brute,0.6,Tank,0.4
Stone Giant,7.0,,0.0,,0.0,Tank,0.6,Brute,0.6
Young Black Dragon,7.0,Solo Challenge,0.4,,0.0,Brute,0.9,Tank,0.9
Shield Guardian,7.0,Lieutenant,0.3,,0.0,Tank,0.9,Brute,0.6
Oni,7.0,Lieutenant,0.3,,0.0,Brute,0.6,Spellcaster,0.6
Giant Ape,7.0,,0.0,,0.0,Brute,1.0,Artillery,0.6
Young Copper Dragon,7.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.6
Cloaker,8.0,Lieutenant,0.3,,0.0,Skirmisher,0.5,,0.2
Young Bronze Dragon,8.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.3
Chain Devil,8.0,Lieutenant,0.3,,0.0,Controller,0.7,Tank,0.4
Hydra,8.0,,0.0,,0.0,Tank,0.7,Brute,0.6
Spirit Naga,8.0,,0.0,,0.0,Spellcaster,0.9,Brute,0.6
Hezrou,8.0,,0.0,,0.0,Tank,0.4,Brute,0.3
Young Green Dragon,8.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.6
Assassin,8.0,Lieutenant,0.3,,0.0,Artillery,0.8,Skirmisher,0.4
Tyrannosaurus Rex,8.0,,0.0,,0.0,Brute,0.8,Controller,0.4
Frost Giant,8.0,,0.0,,0.0,Brute,0.6,Artillery,0.6
Bone Devil,9.0,,0.0,,0.0,Tank,0.6,Brute,0.6
Cloud Giant,9.0,,0.0,,0.0,Brute,0.9,Spellcaster,0.6
Glabrezu,9.0,,0.0,,0.0,Tank,0.6,Spellcaster,0.6
Fire Giant,9.0,,0.0,,0.0,Tank,0.6,Brute,0.6
Clay Golem,9.0,Lieutenant,0.3,,0.0,Brute,0.3,,0.2
Young Blue Dragon,9.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.6
Young Silver Dragon,9.0,Solo Challenge,0.4,,0.0,Tank,0.9,Brute,0.6
Treant,9.0,Lieutenant,0.3,,0.0,Artillery,0.6,Tank,0.4
Guardian Naga,10.0,,0.0,,0.0,Spellcaster,0.9,Tank,0.6
Young Gold Dragon,10.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.3
Deva,10.0,Lieutenant,0.3,,0.2,Tank,0.6,Spellcaster,0.6
Aboleth,10.0,Boss,1.0,Lieutenant,0.3,Tank,0.4,Brute,0.3
Young Red Dragon,10.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.6
Stone Golem,10.0,,0.0,,0.0,Tank,0.6,Brute,0.3
Djinni,11.0,Lieutenant,0.3,Solo Challenge,0.3,Tank,0.6,Brute,0.6
