Name,cr_numeric,HP,AC,boss_score,lieutenant_score,minion_score,solo_challenge_score,enhanced_version_score,brute_score,tank_score,skirmisher_score,spellcaster_score,controller_score,ambusher_score,swarm_score,archetypes,family_position,family_size
Azer,2.0,39 (6d8+12),"17 (Natural Armor, Shield)",0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,"Solo Challenge, Tank",solo,1
Azer Sentinel,2.0,39 (6d8 + 12),17,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,"Solo Challenge, Tank",solo,1
Baboon,0.0,3 (1d6),12,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,"Lieutenant, Minion",solo,1
Badger,0.0,3 (1d4+1),10,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,Brute,solo,1
Balor,19.0,262 (21d12+126),19 (Natural Armor),0.2,0.3,0.0,0.3,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,"Lieutenant, Solo Challenge, Skirmisher",solo,1
Bandit,0.125,11 (2d8+2),12 (Leather Armor),0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,Minion,minion,2
Bandit Captain,2.0,65 (10d8+20),15 (Studded Leather),0.4,0.4,0.0,0.0,0.0,0.5,0.7,0.2,0.0,0.0,0.0,0.0,"Boss, Lieutenant, Brute, Tank",boss,2
Barbed Devil,5.0,110 (13d8+52),15 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3,0.0,0.0,Controller,solo,1
Basilisk,3.0,52 (8d8+16),15 (Natural Armor),0.2,0.3,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.4,0.0,"Lieutenant, Ambusher",solo,1
Bat,0.0,1 (1d4-1),12,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,Skirmisher,solo,1
Bearded Devil,3.0,52 (8d8+16),13 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,Controller,solo,1
Behir,11.0,168 (16d12+64),17 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.5,0.0,0.6,0.0,0.0,"Solo Challenge, Brute, Skirmisher, Controller",solo,1
Berserker,2.0,67 (9d8+27),13 (Hide Armor),0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"Brute, Tank",solo,1
Black Bear,0.5,19 (3d8+6),11 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,"Brute, Skirmisher",solo,1
Black Dragon Wyrmling,2.0,33 (6d8+6),17 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,"Solo Challenge, Tank, Skirmisher",solo,1
Black Pudding,4.0,85 (10d10+30),7,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.2,0.0,0.0,0.0,0.0,"Brute, Tank",solo,1
Blink Dog,0.25,22 (4d8+4),13,0.2,0.3,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,"Lieutenant, Solo Challenge",solo,1
Blood Hawk,0.125,7 (2d6),12,0.2,0.3,0.5,0.0,0.0,0.7,0.5,0.3,0.0,0.0,0.0,0.0,"Lieutenant, Minion, Brute, Tank, Skirmisher",solo,1
Blue Dragon Wyrmling,3.0,52 (8d8+16),17 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.0,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,"Solo Challenge, Tank, Skirmisher",solo,1
Boar,0.25,11 (2d8+2),11 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,Standard,solo,1
Bone Devil,9.0,142 (15d10+60),19 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.7,0.0,0.3,0.0,0.0,"Brute, Tank, Skirmisher, Controller",solo,1
Brass Dragon Wyrmling,1.0,16 (3d8+3),16 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.0,0.6000000000000001,0.7,0.0,0.0,0.0,0.0,"Solo Challenge, Tank, Skirmisher",solo,1
Bronze Dragon Wyrmling,2.0,32 (5d8+10),17 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.0,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,"Solo Challenge, Tank, Skirmisher",solo,1
Brown Bear,1.0,34 (4d10+12),11 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,"Brute, Skirmisher",solo,1
Bugbear,1.0,27 (5d8+5),"16 (Hide Armor, Shield)",0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.0,"Minion, Tank, Ambusher",minion,2
Bugbear Stalker,3.0,65 (10d8 + 20),15,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,Brute,solo,1
Bugbear Warrior,1.0,33 (6d8 + 6),14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,Boss,boss,2
Bulette,5.0,94 (9d10+45),17 (Natural Armor),0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.5,0.0,0.2,0.0,0.0,"Solo Challenge, Brute, Tank, Skirmisher",solo,1
Bullywug Bog Sage,4.0,52 (8d8 + 16),16,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.0,"Brute, Skirmisher",solo,1
Bullywug Warrior,0.25,11 (2d8 + 2),15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Camel,0.125,15 (2d10+4),9,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.7,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Carrion Crawler,2.0,51 (6d10 + 18),13,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Lieutenant,solo,1
Cat,0.0,2 (1d4),12,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,Skirmisher,solo,1
Centaur,2.0,45 (6d10+12),12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,"Brute, Skirmisher",solo,1
Centaur Trooper,2.0,45 (6d10 + 12),16,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.5,0.0,0.0,0.0,0.0,"Brute, Tank, Skirmisher",solo,1
Chain Devil,8.0,85 (10d8+40),16 (Natural Armor),0.2,0.3,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.7,0.0,0.0,"Lieutenant, Brute, Tank, Controller",solo,1
Chimera,6.0,114 (12d10+48),14 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,"Solo Challenge, Skirmisher",solo,1
Chuul,4.0,93 (11d10+33),16 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,0.0,0.4,0.0,0.0,"Brute, Tank, Controller",solo,1
Clay Golem,9.0,133 (14d10+56),14 (Natural Armor),0.2,0.3,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,"Lieutenant, Brute",solo,1
Cloaker,8.0,78 (12d10+12),14 (Natural Armor),0.2,0.3,0.0,0.0,0.0,0.7,0.5,0.3,0.0,0.2,0.0,0.0,"Lieutenant, Brute, Tank, Skirmisher",solo,1
Cloud Giant,9.0,200 (16d12+96),14 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.6,0.3,0.0,0.0,"Brute, Tank, Spellcaster, Controller",solo,1
Cockatrice,0.5,27 (6d6+6),11,0.4,0.3,0.0,0.0,0.0,0.4,0.2,0.3,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Brute, Skirmisher",solo,1
Commoner,0.0,4 (1d8),10,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"Brute, Tank",solo,1
Constrictor Snake,0.25,13 (2d10+2),12,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.4,0.0,0.0,Controller,solo,1
Copper Dragon Wyrmling,1.0,22 (4d8+4),16 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.0,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,"Solo Challenge, Tank, Skirmisher",solo,1
Couatl,4.0,97 (13d8+39),19 (Natural Armor),0.2,0.3,0.0,0.0,0.0,0.3,0.8999999999999999,0.5,0.6,0.4,0.0,0.0,"Lieutenant, Brute, Tank, Skirmisher, Spellcaster, Controller",solo,1
Crab,0.0,2 (1d4),11 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,Standard,solo,1
Crocodile,0.5,19 (3d10+3),12 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,Controller,solo,1
Cult Fanatic,2.0,33 (6d8+6),13 (Leather Armor),0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.9,0.4,0.0,0.0,"Spellcaster, Controller",solo,1
Cultist,0.125,9 (2d8),12 (Leather Armor),0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.4,0.0,0.0,"Brute, Tank, Controller",solo,1
Cultist Fanatic,2.0,44 (8d8 + 8),13,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Brute,solo,1
Darkmantle,0.5,22 (5d6+5),11,0.0,0.0,0.0,0.7,0.0,0.4,0.2,0.3,0.0,0.3,0.0,0.0,"Solo Challenge, Brute, Skirmisher, Controller",solo,1
Death Dog,1.0,39 (6d8+12),12,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,Controller,solo,1
Deep Gnome (Svirfneblin),0.5,16 (3d6 + 6),15 (chain shirt),0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.4,0.6,0.0,0.4,0.0,"Tank, Skirmisher, Spellcaster, Ambusher",solo,1
Deer,0.0,4 (1d8),13,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.3,0.0,0.0,0.0,0.0,"Brute, Tank, Skirmisher",solo,1
Deva,10.0,136 (16d8+64),17 (Natural Armor),0.4,0.3,0.0,0.0,0.0,0.2,0.2,0.5,0.6,0.0,0.0,0.0,"Boss, Lieutenant, Skirmisher, Spellcaster",solo,1
Dire Wolf,1.0,37 (5d10+10),14 (Natural Armor),0.6000000000000001,0.3,0.5,0.0,0.8,0.0,0.0,0.5,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Minion, Enhanced, Skirmisher",boss,2
Diseased Giant Rat,0.125,7,12,0.2,0.3,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"Lieutenant, Minion, Brute, Tank",solo,1
Djinni,11.0,161 (14d10+84),17 (Natural Armor),0.2,0.3,0.0,0.3,0.0,0.2,0.0,0.5,0.6,0.2,0.0,0.0,"Lieutenant, Solo Challenge, Skirmisher, Spellcaster",solo,1
Doppelganger,3.0,52 (8d8+16),14,0.2,0.3,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.0,"Lieutenant, Ambusher",solo,1
Draconic Spirit,0.0,50,19 (plus the spell's level; base included),0.0,0.0,0.0,0.4,0.0,0.3,0.8999999999999999,0.5,0.0,0.0,0.0,0.0,"Solo Challenge, Brute, Tank, Skirmisher",solo,1
Draft Horse,0.25,19 (3d10+3),10,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,Standard,solo,1
Dragon Turtle,17.0,341 (22d20+10),20 (Natural Armor),0.0,0.0,0.0,0.7,0.0,0.8,0.7,0.2,0.0,0.2,0.0,0.0,"Solo Challenge, Brute, Tank",solo,1
Dretch,0.25,18 (4d6+4),11 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,"Solo Challenge, Brute",solo,1
Drider,6.0,123 (13d10+52),19 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4,0.6,0.5,0.0,0.0,"Tank, Skirmisher, Spellcaster, Controller",solo,1
Drow,0.25,13 (3d8),15 (Chain Shirt),0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4,0.6,0.5,0.0,0.0,"Tank, Skirmisher, Spellcaster, Controller",solo,1
Druid,2.0,27 (5d8+5),11 (16 With Barkskin),0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.9,0.0,0.0,0.0,"Brute, Spellcaster",solo,1
Dryad,1.0,22 (5d8),11 (16 With Barkskin),0.4,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.2,0.0,0.0,"Boss, Lieutenant, Spellcaster",solo,1
Duergar,1.0,26 (4d8+4),"16 (Scale Mail, Shield)",0.2,0.3,0.0,0.3,0.0,0.0,0.6000000000000001,0.2,0.0,0.4,0.4,0.0,"Lieutenant, Solo Challenge, Tank, Controller, Ambusher",solo,1
Dust Mephit,0.5,17 (5d6),12,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.5,0.6,0.0,0.0,0.0,"Solo Challenge, Skirmisher, Spellcaster",solo,1
Eagle,0.0,3 (1d6),12,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.0,Skirmisher,solo,1
Earth Elemental,5.0,126 (12d10+60),17 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,Skirmisher,solo,1
Efreeti,11.0,200 (16d10+112),17 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.6,0.0,0.0,0.0,"Brute, Tank, Skirmisher, Spellcaster",solo,1
Elephant,4.0,76 (8d12+24),12 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,Standard,solo,1
Elk,0.25,13 (2d10+2),10,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.2,0.0,0.0,Skirmisher,solo,1
Erinyes,12.0,153 (18d8+72),18 (Plate),0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Ettercap,2.0,44 (8d8+8),13 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0,"Brute, Controller",solo,1
Ettin,4.0,85 (10d10+30),12 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.6,0.0,0.0,"Brute, Tank, Controller",solo,1
Fire Elemental,5.0,102 (12d10+36),13,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.5,0.0,0.0,0.0,0.0,"Solo Challenge, Skirmisher",solo,1
Fire Giant,9.0,162 (13d12+78),18 (Plate),0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.2,0.0,0.0,0.0,0.0,"Brute, Tank",solo,1
Flesh Golem,5.0,93 (11d8+44),9,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.2,0.0,0.0,0.0,0.0,"Brute, Tank",solo,1
Flying Snake,0.125,5 (2d4),14,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.0,"Brute, Tank, Skirmisher",solo,1
Flying Sword,0.25,17 (5d6),17 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.7,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Frog,0.0,1 (1d4-1),11,0.0,0.0,0.0,0.3,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,Solo Challenge,solo,1
Frost Giant,8.0,138 (12d12+60),15 (Patchwork Armor),0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,Brute,solo,1
Gargoyle,2.0,52 (7d8+21),15 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Gelatinous Cube,2.0,84 (8d10+40),6,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.2,0.0,0.2,0.4,0.0,"Brute, Tank, Ambusher",solo,1
Ghast,2.0,36 (8d8),13,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,Standard,solo,1
Ghost,4.0,45 (10d8),11,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.5,0.0,0.7,0.0,0.0,"Brute, Skirmisher, Controller",solo,1
Ghoul,1.0,22 (5d8),12,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,Standard,solo,1
Giant Ape,7.0,157 (15d12+60),12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Brute,solo,1
Giant Badger,0.25,13 (2d8+4),10,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,Brute,solo,1
Giant Bat,0.25,22 (4d10),13,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.0,Skirmisher,solo,1
Giant Boar,2.0,42 (5d10+15),12 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Standard,solo,1
Giant Centipede,0.25,4 (1d6+1),13 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.2,0.0,0.0,Brute,solo,1
Giant Constrictor Snake,2.0,60 (8d12+8),12,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.4,0.0,0.0,"Brute, Tank, Controller",solo,1
Giant Crab,0.125,13 (3d8),15 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4,0.0,0.2,0.0,0.0,"Tank, Skirmisher",solo,1
Giant Crocodile,5.0,85 (9d12+27),14 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.6,0.0,0.0,"Brute, Tank, Controller",solo,1
Giant Eagle,1.0,26 (4d10+4),13,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,"Brute, Skirmisher",solo,1
Giant Elk,2.0,42 (5d12+10),14 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.2,0.0,0.0,"Brute, Skirmisher",solo,1
Giant Fire Beetle,0.0,4 (1d6+1),13 (Natural Armor),0.0,0.0,0.0,0.4,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,"Solo Challenge, Brute, Tank",solo,1
